"month","account","Total Transfer ins","Total Transfer out","Account Monthly Balance"
10,"10421","1618.29","0","1618.29"
3,"10424","693.72","0","693.72"
7,"10424","705.52","0","705.52"
8,"10435","615.65","0","615.65"
7,"10441","1329.81","0","1329.81"
2,"10452","2108.19","2791.49","-683.3"
4,"10452","2473.94","1484.76","989.1800000000001"
6,"10452","2457.75","2791.4900000000002","-333.73999999999995"
10,"10452","2473.94","3848.96","-1375.02"
11,"10452","2473.94","5832.24","-3358.2999999999997"
12,"10452","1935.7","0","1935.7"
1,"10494","160.95","196.6","-35.650000000000006"
5,"10494","160.95","196.6","-35.650000000000006"
6,"1050","1732.08","0","1732.08"
7,"1050","677.43","0","677.43"
10,"1050","522.03","1658.98","-1136.95"
1,"10509","310.76","0","310.76"
2,"10509","1634.44","0","1634.44"
3,"10509","915.13","1065.37","-150.2399999999999"
4,"10509","411.7","0","411.7"
6,"10509","915.13","37.26","877.87"
8,"10509","1830.26","1102.6299999999999","727.6300000000001"
10,"10509","0","727.16","-727.16"
2,"1051","1110.93","0","1110.93"
4,"1051","1346.01","0","1346.01"
8,"1051","820.73","0","820.73"
12,"1051","17.97","0","17.97"
1,"10511","0","1266.08","-1266.08"
3,"10511","1550.0099999999998","3683.3100000000004","-2133.3"
4,"10511","1948.62","3299.82","-1351.2000000000003"
5,"10511","0","1490.29","-1490.29"
6,"10511","1948.6200000000001","4276.26","-2327.6400000000003"
8,"10511","426.48","3683.3100000000004","-3256.83"
11,"10511","0","978.47","-978.47"
9,"10516","1374.5","0","1374.5"
10,"10516","1673.96","0","1673.96"
1,"10534","871.18","0","871.18"
3,"10534","872.55","0","872.55"
4,"10534","1572.3","0","1572.3"
5,"10534","1943.09","0","1943.09"
7,"10534","505.06","0","505.06"
11,"10534","1775.24","0","1775.24"
12,"10534","1216.46","0","1216.46"
1,"10564","0","229.68","-229.68"
2,"10564","9978.82","13187.789999999999","-3208.9700000000003"
3,"10564","9978.820000000002","1389.9199999999998","8588.9"
4,"10564","4130.34","3901.71","228.62999999999988"
5,"10564","3553.5","3901.71","-348.21000000000004"
6,"10564","5232.84","3901.71","1331.1299999999999"
7,"10564","5952.78","3901.71","2051.0699999999997"
9,"10564","1192.21","0","1192.21"
12,"10564","3728.31","3901.71","-173.4000000000001"
1,"10567","1925.86","0","1925.86"
2,"10567","15.73","0","15.73"
4,"10567","1800.45","0","1800.45"
7,"10567","1076.02","0","1076.02"
8,"10567","24.08","0","24.08"
9,"10567","0","677.28","-677.28"
10,"10567","1231.74","0","1231.74"
11,"10567","1169.4","0","1169.4"
12,"10567","1910.87","0","1910.87"
1,"10617","5064.66","9797.75","-4733.09"
4,"10617","156.96","3777.06","-3620.1"
5,"10617","426.67","0","426.67"
6,"10617","3493.32","3777.06","-283.7399999999998"
10,"10617","3312.88","3777.06","-464.17999999999984"
11,"10617","1393.86","3777.06","-2383.2"
12,"10617","5064.66","9087.55","-4022.89"
2,"10662","191.41","0","191.41"
5,"10662","1002.21","0","1002.21"
7,"10662","0","999.15","-999.15"
12,"10662","1373.14","0","1373.14"
3,"10670","198.82","0","198.82"
4,"10670","968.76","49.03","919.73"
5,"10670","7418.49","245.15","7173.339999999999"
6,"10670","1864.51","49.03","1815.48"
9,"10670","0","395.66","-395.66"
12,"10670","1601.81","49.03","1552.78"
6,"10683","374.59","0","374.59"
7,"10683","575.92","0","575.92"
8,"10683","1514.53","0","1514.53"
9,"10683","1188.24","0","1188.24"
10,"10683","1701.52","531.52","1170"
11,"10683","0","225.15","-225.15"
12,"10683","689.98","531.52","158.46000000000004"
1,"10684","3601.96","5179.13","-1577.17"
2,"10684","0","1262.35","-1262.35"
3,"10684","8450.779999999999","13383.51","-4932.730000000001"
4,"10684","0","1391.22","-1391.22"
7,"10684","7290.48","5179.13","2111.3499999999995"
8,"10684","8450.78","7986.510000000001","464.2699999999993"
10,"10684","4042.64","5179.13","-1136.4900000000002"
12,"10684","34.79","0","34.79"
3,"10695","306.65","0","306.65"
10,"10695","294.86","0","294.86"
2,"10750","671.36","0","671.36"
5,"10750","1961.37","0","1961.37"
6,"10750","1610.61","0","1610.61"
1,"10753","3606.93","3058","548.9300000000001"
3,"10753","0","1056.28","-1056.28"
4,"10753","117.24","844.11","-726.87"
6,"10753","3133.88","844.11","2289.7700000000004"
8,"10753","268.73","0","268.73"
10,"10753","3606.93","318.44","3288.4900000000007"
11,"10753","3204.02","844.11","2359.91"
12,"10753","1273.85","0","1273.85"
1,"10767","2013.96","1987.97","25.99000000000001"
2,"10767","557.82","0","557.82"
3,"10767","2865.55","4536.12","-1670.57"
4,"10767","322.5","0","322.5"
6,"10767","0","1372.59","-1372.59"
9,"10767","628.24","1987.97","-1359.73"
12,"10767","3088.9","1987.97","1100.93"
1,"10809","2663.16","2987.37","-324.21000000000026"
2,"10809","3646.94","2987.37","659.5699999999999"
3,"10809","0","1797.42","-1797.42"
4,"10809","2167.3","2987.37","-820.0699999999999"
5,"10809","1372.3","2987.37","-1615.0700000000002"
6,"10809","50.04","0","50.04"
7,"10809","3981.8","2987.37","994.4300000000001"
8,"10809","1194.25","0","1194.25"
9,"10809","745.62","2987.37","-2241.75"
10,"10809","965.8","2987.37","-2021.5700000000002"
11,"10809","754.26","2987.37","-2233.11"
12,"10809","1563.98","0","1563.98"
4,"1082","618.16","0","618.16"
5,"1082","2798.34","1634.72","1163.6200000000001"
6,"1082","2218.98","1634.72","584.26"
8,"1082","0","997.48","-997.48"
10,"1082","2191.46","1634.72","556.74"
2,"10830","126.84","3095.59","-2968.75"
3,"10830","2366.03","1623.87","742.1600000000002"
4,"10830","0","1580.05","-1580.05"
5,"10830","1674.52","0","1674.52"
7,"10830","2366.03","2392.2","-26.169999999999845"
8,"10830","2366.03","5270.700000000001","-2904.67"
10,"10830","3999.51","3095.59","903.9200000000001"
1,"10902","0","168.25","-168.25"
2,"10902","0","766.64","-766.64"
5,"10902","652.28","0","652.28"
7,"10902","37.36","1081.06","-1043.7"
8,"10902","3047.68","1081.06","1966.62"
9,"10902","3210.63","572.9399999999999","2637.6899999999996"
10,"10902","1522.6","0","1522.6"
12,"10902","460.75","0","460.75"
1,"10932","1135.63","0","1135.63"
3,"10932","1346.9","0","1346.9"
4,"10932","362.01","1885.05","-1523.04"
5,"10932","134.9","1885.05","-1750.1499999999999"
11,"10932","605.49","0","605.49"
2,"10972","425.35","0","425.35"
5,"10972","1010.34","0","1010.34"
6,"10972","979.11","0","979.11"
7,"10972","1136.88","0","1136.88"
3,"10998","1531.57","0","1531.57"
4,"10998","0","1552.7","-1552.7"
11,"10998","798.43","0","798.43"
12,"10998","1684.44","0","1684.44"
5,"11007","38.65","0","38.65"
11,"11007","650.87","0","650.87"
3,"11031","0","294.61","-294.61"
6,"11031","0","611.97","-611.97"
11,"11031","0","1434.76","-1434.76"
1,"11047","0","911.77","-911.77"
10,"11047","530.76","0","530.76"
1,"11084","6078.860000000001","355.5","5723.360000000001"
2,"11084","268.46","0","268.46"
3,"11084","1001.48","0","1001.48"
5,"11084","4536.2699999999995","1796.5900000000001","2739.6800000000003"
7,"11084","6078.860000000001","504.78","5574.08"
9,"11084","2653.89","1796.5900000000001","857.3000000000001"
10,"11084","2615.64","1796.5900000000001","819.05"
11,"11084","154.95","0","154.95"
12,"11084","3920.9700000000003","1796.5900000000001","2124.38"
6,"11097","1637.35","0","1637.35"
8,"11097","143.36","0","143.36"
2,"11101","1822.62","1771.72","50.899999999999864"
3,"11101","0","52.45","-52.45"
5,"11101","1811.9299999999998","4232.9400000000005","-2421.01"
8,"11101","1811.9299999999998","1082.22","729.7099999999998"
11,"11101","190.7","0","190.7"
1,"11151","464.82","1356.81","-891.99"
6,"11151","2343.37","4070.43","-1727.06"
9,"11151","0","548.38","-548.38"
10,"11151","0","1917.6","-1917.6"
11,"11151","0","1511.68","-1511.68"
12,"11151","1198.9","0","1198.9"
1,"11172","0","7.12","-7.12"
2,"11172","589.22","569.22","20"
4,"11172","412.45","0","412.45"
5,"11172","0","595.83","-595.83"
8,"11172","1710.81","0","1710.81"
9,"11172","1563.78","0","1563.78"
10,"11172","1178.44","678.4100000000001","500.03000000000003"
11,"11172","1630.06","0","1630.06"
12,"11172","1032.11","0","1032.11"
1,"11200","4786.86","3243.13","1543.7299999999996"
2,"11200","4123.03","619.47","3503.5599999999995"
6,"11200","4123.03","5768.28","-1645.2500000000002"
7,"11200","4039.62","3243.13","796.4899999999998"
8,"11200","4123.03","3341.6400000000003","781.3899999999994"
11,"11200","1859.33","0","1859.33"
12,"11200","1789.22","0","1789.22"
11,"11201","1211.99","0","1211.99"
6,"11202","1871.43","0","1871.43"
9,"11202","1547.2","0","1547.2"
11,"11202","273.52","0","273.52"
12,"11202","0","1334.94","-1334.94"
2,"11297","0","634.32","-634.32"
3,"11297","1446.39","0","1446.39"
4,"11297","0","687.08","-687.08"
6,"11297","0","794.15","-794.15"
8,"11297","0","781.22","-781.22"
10,"11297","543.99","0","543.99"
11,"11297","15","0","15"
12,"11297","1434.34","0","1434.34"
2,"11306","164.81","0","164.81"
3,"11306","1582.9","0","1582.9"
4,"11306","504.07","0","504.07"
5,"11306","847.6","0","847.6"
8,"11306","1351.15","0","1351.15"
9,"11306","657.55","0","657.55"
11,"11306","1878.68","0","1878.68"
1,"11319","0","97.81","-97.81"
3,"11319","1708.45","0","1708.45"
9,"11319","0","1644.97","-1644.97"
12,"11319","0","1325.11","-1325.11"
7,"11406","1322.42","0","1322.42"
7,"11412","1787.84","1974.55","-186.71000000000004"
8,"11412","1787.84","1974.55","-186.71000000000004"
9,"11412","1720.13","0","1720.13"
1,"11426","1008.88","0","1008.88"
5,"11426","378.92","1376.05","-997.1299999999999"
10,"11426","0","621.12","-621.12"
11,"11426","378.92","1376.05","-997.1299999999999"
12,"11426","0","271.38","-271.38"
3,"1143","0","1740.43","-1740.43"
1,"11443","583.33","0","583.33"
3,"11443","1209.03","0","1209.03"
4,"11443","3873.82","1854.29","2019.5300000000002"
5,"11443","194.68","0","194.68"
6,"11443","3090.62","1854.29","1236.33"
7,"11443","3712.62","1854.29","1858.3300000000002"
8,"11443","1625.06","0","1625.06"
9,"11443","0","1258.54","-1258.54"
10,"11443","9118.999999999998","5400.01","3718.9900000000002"
12,"11443","703.68","0","703.68"
1,"11464","150.02","415.03","-265.01"
2,"11464","1472.38","415.03","1057.3500000000001"
5,"11464","108.99","415.03","-306.03999999999996"
7,"11464","1063.35","415.03","648.3199999999999"
8,"11464","2794.74","1660.12","1134.6200000000001"
3,"11469","5020.68","1307.07","3713.6099999999997"
4,"11469","0","1848.16","-1848.16"
6,"11469","963.51","0","963.51"
9,"11469","1316.23","435.69","880.54"
11,"11469","1940.58","435.69","1504.8899999999999"
3,"11480","397.29","0","397.29"
8,"11480","1209.99","0","1209.99"
1,"11636","1228.57","0","1228.57"
3,"11636","0","794.06","-794.06"
5,"11636","0","1322.37","-1322.37"
7,"11636","487.85","0","487.85"
9,"11636","1848.99","0","1848.99"
10,"11636","1427.23","0","1427.23"
11,"11636","1216.39","0","1216.39"
12,"11636","1935.97","0","1935.97"
1,"11661","1453.29","0","1453.29"
2,"11661","1230.36","0","1230.36"
3,"11661","252.5","0","252.5"
7,"11661","1134.77","0","1134.77"
8,"11661","1223.02","0","1223.02"
11,"11661","125.39","0","125.39"
12,"11661","636.01","0","636.01"
2,"11673","2229.93","2044.9299999999998","184.99999999999994"
3,"11673","0","0.35","-0.35"
5,"11673","417.44","0","417.44"
7,"11673","3536.76","2044.9299999999998","1491.8300000000004"
10,"11673","3028.02","2044.9299999999998","983.0900000000001"
11,"11673","4087.26","1593.24","2494.0200000000004"
1,"11676","1297.05","0","1297.05"
2,"11676","1477.16","874.57","602.59"
3,"11676","0","754.26","-754.26"
6,"11676","742.75","0","742.75"
8,"11676","1997.89","874.57","1123.3200000000002"
9,"11676","1474.07","0","1474.07"
11,"11676","861.1","874.57","-13.470000000000027"
1,"11689","633.24","0","633.24"
6,"11689","154.16","0","154.16"
1,"11692","2607.49","2234.66","372.83000000000015"
3,"11692","6.7","0","6.7"
4,"11692","0","1103.44","-1103.44"
7,"11692","2607.49","1872.36","735.1300000000001"
8,"11692","2607.49","1471.1","1136.39"
4,"11695","1628.28","0","1628.28"
2,"11712","915.79","0","915.79"
6,"11712","80.27","0","80.27"
11,"11712","0","1163.65","-1163.65"
3,"1172","860.21","0","860.21"
10,"1172","0","1576.6","-1576.6"
1,"1175","0","195.44","-195.44"
2,"1175","0","924.25","-924.25"
4,"1175","1300.55","0","1300.55"
9,"1175","0","381.01","-381.01"
4,"11780","664.94","0","664.94"
6,"11780","1402.06","1615.23","-213.1700000000002"
7,"11780","1210.95","0","1210.95"
9,"11780","2841.16","1615.23","1225.9299999999998"
11,"11780","246.96","1615.23","-1368.27"
12,"11780","2674.1","4320.6","-1646.5000000000005"
4,"1179","1690.65","0","1690.65"
5,"1179","0","1686.53","-1686.53"
6,"1179","4240.55","3946.0199999999995","294.5300000000001"
8,"1179","0","1413.75","-1413.75"
9,"1179","1667.86","1315.34","352.52"
11,"1179","0","1752.13","-1752.13"
4,"11816","0","1208.16","-1208.16"
5,"11816","0","451.1","-451.1"
7,"11816","71.89","0","71.89"
8,"11816","1181.57","0","1181.57"
11,"11816","1671.73","0","1671.73"
12,"11816","1810.46","0","1810.46"
1,"11822","0","1225.03","-1225.03"
2,"11822","14.3","0","14.3"
3,"11822","672.43","0","672.43"
4,"11822","0","193.16","-193.16"
5,"11822","438.89","0","438.89"
7,"11822","418.56","0","418.56"
9,"11822","8100.8","6290.05","1810.7500000000005"
10,"11822","3107.16","2396.78","710.3799999999999"
12,"11822","3107.16","2986.56","120.60000000000014"
3,"11937","384.34","0","384.34"
4,"11937","528.8","2867.63","-2338.8300000000004"
6,"11937","1094.93","0","1094.93"
9,"11937","222.48","2867.63","-2645.15"
12,"11937","1339.6","5703.42","-4363.82"
2,"1199","835.1","0","835.1"
4,"1199","62.26","0","62.26"
9,"1199","1404.69","0","1404.69"
10,"1199","796.04","0","796.04"
2,"12013","295.19","0","295.19"
4,"12013","1078.64","708.66","369.98000000000013"
7,"12013","1078.64","708.66","369.98000000000013"
2,"1202","1010.35","40.28","970.07"
6,"1202","1010.35","40.28","970.07"
9,"1202","737.11","0","737.11"
10,"1202","0","1783.31","-1783.31"
1,"12054","2983","2085.2599999999998","897.74"
2,"12054","1893.89","0","1893.89"
3,"12054","1221.2","2085.2599999999998","-864.0599999999997"
4,"12054","1061.44","2085.2599999999998","-1023.8199999999999"
6,"12054","3869.9300000000003","1689.68","2180.25"
7,"12054","0","1699.16","-1699.16"
9,"12054","856.97","0","856.97"
10,"12054","0","1715.43","-1715.43"
11,"12054","2474.22","2085.2599999999998","388.9599999999998"
1,"12060","1566.17","0","1566.17"
7,"12060","1562.69","0","1562.69"
10,"12060","746.41","0","746.41"
12,"12060","314.4","0","314.4"
1,"12067","0","1389.31","-1389.31"
5,"12067","1151.34","0","1151.34"
9,"12067","1029.14","0","1029.14"
12,"12067","1237.35","94.33","1143.02"
3,"12072","0","1417.68","-1417.68"
4,"12072","0","1958.42","-1958.42"
8,"12072","1131.86","0","1131.86"
10,"12072","0","1725.34","-1725.34"
11,"12072","0","941.57","-941.57"
2,"12073","1272.28","0","1272.28"
7,"12073","396.27","0","396.27"
1,"12079","2887.48","1353.63","1533.85"
3,"12079","3848.92","1353.63","2495.29"
5,"12079","5148.67","1049.4","4099.27"
6,"12079","1793.59","0","1793.59"
8,"12079","929.67","0","929.67"
11,"12079","5148.67","3011.4900000000002","2137.18"
12,"12079","0","55.72","-55.72"
2,"12097","3231.0499999999997","1408.8","1822.2499999999998"
3,"12097","82.67","352.2","-269.53"
4,"12097","0","1758.5","-1758.5"
5,"12097","502.31","0","502.31"
6,"12097","592.01","352.2","239.81"
7,"12097","705.83","0","705.83"
11,"12097","1869","0","1869"
12,"12097","1051.04","352.2","698.8399999999999"
3,"12106","0","1837.21","-1837.21"
4,"12106","457.13","0","457.13"
8,"12106","776.77","0","776.77"
2,"12131","1145.23","0","1145.23"
6,"12131","0","822.38","-822.38"
8,"12144","1797.79","0","1797.79"
1,"12154","1196.27","0","1196.27"
4,"12154","0","1332.11","-1332.11"
11,"12154","1479.23","0","1479.23"
1,"12199","124.47","0","124.47"
2,"12199","1419.37","0","1419.37"
3,"12199","1164.55","0","1164.55"
4,"12199","1381","0","1381"
5,"12199","941.79","0","941.79"
6,"12199","0","573.38","-573.38"
10,"12199","1311.66","0","1311.66"
12,"12199","796.19","0","796.19"
6,"12206","0","1812.17","-1812.17"
7,"12206","839.19","0","839.19"
8,"12206","1698.92","0","1698.92"
10,"12206","0","724.59","-724.59"
1,"12221","527.2","0","527.2"
2,"12221","823.93","0","823.93"
3,"12221","847.68","0","847.68"
4,"12221","2206.29","2271.48","-65.19000000000017"
7,"12221","2033.98","172.64999999999998","1861.33"
9,"12221","2033.98","2566.6499999999996","-532.67"
12,"12221","0","1824.66","-1824.66"
1,"12222","3435.23","728.58","2706.65"
5,"12222","0","1956.76","-1956.76"
6,"12222","1962.84","942.01","1020.8299999999999"
7,"12222","1215.74","0","1215.74"
8,"12222","517.83","0","517.83"
10,"12222","131.38","0","131.38"
11,"12222","0","1632.91","-1632.91"
12,"12222","1149.38","0","1149.38"
6,"12285","12.74","0","12.74"
8,"12285","919.81","1957.12","-1037.31"
11,"12285","140.63","978.56","-837.93"
5,"12311","0","247.05","-247.05"
6,"12311","0","723.16","-723.16"
11,"12311","0","25.35","-25.35"
1,"12312","56.33","793.43","-737.0999999999999"
4,"12312","0","1154.73","-1154.73"
7,"12312","922.35","0","922.35"
8,"12312","1475.81","0","1475.81"
11,"12312","18.53","0","18.53"
12,"12312","928.7","793.43","135.2700000000001"
1,"12379","0","1654.14","-1654.14"
2,"12379","1441.8","3263.08","-1821.2799999999997"
3,"12379","127.88","3263.08","-3135.2"
5,"12379","3472.4199999999996","7456.15","-3983.7299999999996"
6,"12379","3472.4199999999996","633.8000000000001","2838.62"
7,"12379","1540.72","3263.08","-1722.3599999999997"
12,"12379","3472.4199999999996","1093.8","2378.6200000000003"
3,"1238","337.7","0","337.7"
6,"1238","1928.71","0","1928.71"
12,"1238","574.08","0","574.08"
7,"12385","1410.61","0","1410.61"
12,"12385","0","214.28","-214.28"
2,"1244","1025.95","0","1025.95"
3,"1244","629.17","0","629.17"
6,"1244","0","167.13","-167.13"
7,"1244","515.11","0","515.11"
8,"1244","1648.76","0","1648.76"
10,"1244","1476.34","0","1476.34"
11,"1244","0","62.64","-62.64"
1,"12497","491.9","0","491.9"
8,"12497","1615.86","0","1615.86"
10,"12497","1351.3","0","1351.3"
11,"12497","474.41","0","474.41"
12,"12497","630.66","0","630.66"
1,"12565","3745.0700000000006","215.12","3529.95"
2,"12565","1867.61","0","1867.61"
5,"12565","1223.25","53.78","1169.47"
8,"12565","94.44","53.78","40.66"
11,"12565","1178.47","53.78","1124.69"
3,"1257","0","1679.08","-1679.08"
5,"1257","0","1264.88","-1264.88"
6,"1257","196.25","0","196.25"
10,"1257","1928.24","0","1928.24"
11,"1257","1038.91","0","1038.91"
12,"1257","1178.63","0","1178.63"
3,"12596","1735.25","788.78","946.47"
6,"12596","1735.25","1375.6","359.6500000000001"
10,"12596","3470.5","2164.38","1306.1200000000001"
4,"12678","700.1","424.27","275.83000000000004"
6,"12678","700.1","424.27","275.83000000000004"
7,"12678","0","1953.95","-1953.95"
12,"12678","1745.6","0","1745.6"
4,"12681","175.74","0","175.74"
5,"12681","0","1992.63","-1992.63"
8,"12681","1528.37","0","1528.37"
9,"12681","250.81","0","250.81"
10,"12681","272.3","0","272.3"
11,"12681","1869.1","0","1869.1"
1,"12690","3974.94","1778.1399999999999","2196.8"
2,"12690","519.34","0","519.34"
4,"12690","1656.82","1778.1399999999999","-121.32"
5,"12690","1535.83","0","1535.83"
6,"12690","3875.8","5395.24","-1519.4399999999998"
7,"12690","0","113.16","-113.16"
8,"12690","469.12","1778.1399999999999","-1309.02"
9,"12690","1650.72","1778.1399999999999","-127.4199999999999"
11,"12690","1144.32","0","1144.32"
1,"12714","1684.56","3903.7699999999995","-2219.21"
2,"12714","2391.38","5250.99","-2859.6099999999997"
4,"12714","2391.38","3025.86","-634.48"
5,"12714","2391.38","835.53","1555.85"
8,"12714","1543.62","0","1543.62"
9,"12714","270.23","0","270.23"
10,"12714","5230.08","3903.7699999999995","1326.31"
11,"12714","2650.88","3903.7699999999995","-1252.8899999999999"
12,"12714","0","834.9","-834.9"
1,"12724","1610.92","974.51","636.4100000000001"
3,"12724","0","52.48","-52.48"
5,"12724","3263.96","1949.02","1314.94"
6,"12724","1808.28","0","1808.28"
11,"12724","63.97","0","63.97"
12,"12724","1653.04","974.51","678.53"
2,"12727","479.62","0","479.62"
12,"12727","0","1734.79","-1734.79"
1,"12729","0","213.99","-213.99"
3,"12729","0","1202.42","-1202.42"
8,"12729","0","6.06","-6.06"
9,"12729","832.45","0","832.45"
2,"12750","958.59","730.97","227.62"
3,"12750","1510.05","730.97","779.0799999999999"
4,"12750","0","229.78","-229.78"
6,"12750","0","1392.75","-1392.75"
10,"12750","170.43","730.97","-560.54"
12,"12750","366.37","0","366.37"
1,"128","657.49","0","657.49"
3,"128","434.74","1691.12","-1256.3799999999999"
4,"128","0","568.67","-568.67"
9,"128","434.74","1691.12","-1256.3799999999999"
4,"12808","54.56","0","54.56"
5,"12808","1624.84","0","1624.84"
8,"12808","0","175.43","-175.43"
9,"12808","122.79","0","122.79"
1,"12828","1520.94","0","1520.94"
3,"12828","861.24","0","861.24"
6,"12828","473.61","0","473.61"
11,"12828","0","314.7","-314.7"
6,"12837","917","0","917"
8,"12837","1039.83","0","1039.83"
9,"12837","385.52","0","385.52"
10,"12837","1328.38","0","1328.38"
12,"12837","1650.48","0","1650.48"
1,"12849","1231.18","2143.19","-912.0099999999998"
2,"12849","549.08","0","549.08"
3,"12849","0","406.98","-406.98"
4,"12849","615.59","1894.52","-1278.9299999999998"
10,"12849","615.59","248.67","366.9200000000001"
11,"12849","39.34","0","39.34"
12,"12849","0","444.7","-444.7"
1,"12861","820.91","0","820.91"
12,"12861","879.92","0","879.92"
1,"12863","0","81.32","-81.32"
2,"12863","437.05","1574.36","-1137.31"
4,"12863","975.63","1574.36","-598.7299999999999"
5,"12863","1026.41","1574.36","-547.9499999999998"
7,"12863","699.59","1574.36","-874.7699999999999"
10,"12863","6449.09","11020.52","-4571.429999999999"
12,"12863","1836.92","1574.36","262.5600000000002"
7,"12870","0","532.85","-532.85"
9,"12870","0","1843.28","-1843.28"
2,"12930","1609.27","0","1609.27"
3,"12930","1013.59","0","1013.59"
4,"12930","41.33","0","41.33"
6,"12930","863.41","0","863.41"
7,"12930","0","1690.31","-1690.31"
8,"12930","1493.19","0","1493.19"
11,"12930","1437.37","0","1437.37"
12,"12930","1002.52","0","1002.52"
1,"1301","1267.98","1359.24","-91.25999999999999"
2,"1301","2877.25","4077.7200000000003","-1200.4699999999998"
4,"1301","1415.4","1359.24","56.16000000000008"
5,"1301","0","1692.4","-1692.4"
6,"1301","123.18","0","123.18"
8,"1301","0","780.71","-780.71"
9,"1301","193.87","1359.24","-1165.37"
2,"13019","0","561.26","-561.26"
4,"13019","965.51","0","965.51"
5,"13019","0","1213.46","-1213.46"
6,"13019","1822.62","2801.46","-978.8399999999999"
7,"13019","5408.719999999999","5325.36","83.36000000000013"
9,"13019","3176.6","2801.46","375.1400000000001"
10,"13019","2085.48","2801.46","-715.9799999999998"
11,"13019","1385.37","0","1385.37"
12,"13019","5408.719999999999","5880.48","-471.75999999999976"
3,"13080","0","175.88","-175.88"
4,"13080","1383.69","1561.02","-177.32999999999993"
8,"13080","2767.38","1717.6","1049.7800000000002"
11,"13080","1383.69","156.58","1227.1100000000001"
1,"13087","0","1485.88","-1485.88"
3,"13087","4244.700000000001","3553.66","691.0400000000002"
4,"13087","1414.9","1973.58","-558.6799999999998"
5,"13087","1414.9","1290.15","124.75"
6,"13087","728.42","0","728.42"
9,"13087","108.65","0","108.65"
11,"13087","334.77","0","334.77"
12,"13087","0","1451.64","-1451.64"
4,"13108","1886.09","374.46","1511.6299999999999"
5,"13108","1879.34","374.46","1504.8799999999999"
11,"13108","5209.73","1123.3799999999999","4086.3499999999995"
1,"1314","1994.6","0","1994.6"
2,"1314","453.78","3069.7799999999997","-2616"
5,"1314","2712.32","3069.7799999999997","-357.4599999999998"
